customer_id,customer_age,customer_income,employment_duration,loan_grade,loan_amount_in_thousand,loan_int_rate,term_years,cred_hist_length,Current_loan_status,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,Income_bracket,Loan_amount_bracket,loan_int_rate_bracket,home_ownership,Cluster
2.0,21,9600.0,5.0,A,1.0,11.14,1,2,0,False,False,True,False,False,True,False,False,False,False,very low,very low,medium rate,OTHER,1
3.0,25,9600.0,1.0,B,5.5,12.87,5,3,1,True,False,False,False,False,False,False,True,False,False,very low,low,high rate,MORTGAGE,1
6.0,21,9900.0,2.0,A,2.5,7.14,1,2,1,False,False,True,False,False,False,False,False,False,True,very low,very low,very low rate,OTHER,2
10.0,21,10000.0,6.0,C,1.6,14.74,1,3,1,False,False,True,False,False,False,False,False,False,True,very low,very low,very high rate,OTHER,0
12.0,21,10000.0,2.0,A,4.5,8.63,1,2,1,False,False,True,False,False,False,True,False,False,False,very low,low,low rate,OTHER,3
20.0,24,10800.0,8.0,A,1.75,10.99,4,2,1,True,False,False,False,False,True,False,False,False,False,very low,very low,medium rate,MORTGAGE,1
24.0,24,10980.0,0.0,A,1.5,7.29,4,3,0,False,False,True,False,False,False,False,False,True,False,very low,very low,very low rate,OTHER,2
27.0,21,11000.0,3.0,D,4.575,17.74,1,3,1,True,False,False,False,False,False,False,False,False,True,very low,low,very high rate,MORTGAGE,0
28.0,23,11000.0,0.0,A,1.4,9.32,3,3,0,False,False,True,False,False,False,False,False,True,False,very low,very low,low rate,OTHER,3
30.0,21,11389.0,5.0,B,4.0,12.84,1,2,1,False,True,False,False,False,True,False,False,False,False,very low,very low,high rate,OTHER,1
31.0,21,11520.0,5.0,A,2.0,11.12,1,3,1,False,False,True,False,False,False,False,True,False,False,very low,very low,medium rate,OTHER,1
36.0,21,12000.0,5.0,A,2.5,7.51,1,4,1,False,False,True,False,False,True,False,False,False,False,very low,very low,very low rate,OTHER,2
42.0,24,12000.0,4.0,A,2.5,12.69,4,3,1,False,False,True,False,False,False,False,False,False,True,very low,very low,high rate,OTHER,0
60.0,24,12000.0,2.0,D,1.75,16.29,4,3,0,False,False,True,False,False,False,False,False,False,True,very low,very low,very high rate,OTHER,0
64.0,25,221850.0,9.0,C,25.0,15.7,10,2,1,True,False,False,False,False,False,False,True,False,False,very high,very high,very high rate,MORTGAGE,0
66.0,22,12000.0,7.0,C,1.5,14.84,2,3,0,True,False,False,False,False,True,False,False,False,False,very low,very low,very high rate,MORTGAGE,0
71.0,25,12000.0,0.0,B,3.0,12.42,5,3,1,False,False,True,False,False,False,False,True,False,False,very low,very low,high rate,OTHER,1
72.0,22,56950.0,6.0,A,28.0,10.99,10,2,0,False,False,False,True,False,False,False,True,False,False,medium,very high,medium rate,RENT,1
73.0,21,12000.0,6.0,B,3.0,13.61,1,3,1,False,False,True,False,False,True,False,False,False,False,very low,very low,high rate,OTHER,1
74.0,23,65000.0,2.0,A,28.0,7.9,10,2,0,False,False,False,True,False,True,False,False,False,False,high,very high,low rate,RENT,3
75.0,26,85000.0,2.0,A,28.0,7.49,10,3,0,False,False,False,True,False,False,False,False,False,True,high,very high,very low rate,RENT,2
76.0,26,12000.0,2.0,A,6.1,7.51,6,3,1,False,False,True,False,False,True,False,False,False,False,very low,low,very low rate,OTHER,2
77.0,22,88000.0,6.0,A,28.0,9.91,10,3,0,False,False,False,True,False,False,False,False,False,True,very high,very high,low rate,RENT,2
78.0,21,12000.0,0.0,B,4.2,13.48,1,4,1,False,False,True,False,False,False,False,False,True,False,very low,very low,high rate,OTHER,1
79.0,22,12000.0,6.0,A,4.75,7.14,2,2,1,False,False,True,False,True,False,False,False,False,False,very low,low,very low rate,OTHER,2
80.0,24,83004.0,0.0,C,28.0,15.99,10,4,1,False,False,False,True,False,False,False,False,False,True,high,very high,very high rate,RENT,0
83.0,25,100000.0,5.0,A,28.0,12.69,10,3,0,False,False,False,True,True,False,False,False,False,False,very high,very high,high rate,RENT,2
84.0,26,110000.0,10.0,A,28.0,8.9,10,2,0,False,False,False,True,False,True,False,False,False,False,very high,very high,low rate,RENT,2
85.0,26,12000.0,0.0,A,2.7,8.9,6,4,1,False,False,True,False,True,False,False,False,False,False,very low,very low,low rate,OTHER,3
86.0,22,108000.0,6.0,A,28.0,10.635,10,4,0,False,False,False,True,False,True,False,False,False,False,very high,very high,medium rate,RENT,1
87.0,23,151200.0,7.0,A,28.0,11.11,10,2,0,False,False,False,True,True,False,False,False,False,False,very high,very high,medium rate,RENT,1
